101 Dalmatians | 101 dalmatians | m.018gq3 | film.film.story_by | m.018k1r | Dodie Smith | Who wrote the 1956 novel ‘101 Dalmatians’? | Dodie Smith
About A Boy | about a boy | m.0bpx1k | film.film.story_by | m.016s6p | Nick Hornby | Who wrote the book `About A Boy` which was later turned into a successful film starring Hugh Grant? | Nick Hornby
About A Boy | about a boy | m.0jv0d | book.written_work.author | m.016s6p | Nick Hornby | Who wrote the book `About A Boy` which was later turned into a successful film starring Hugh Grant? | Nick Hornby
Abraham | abraham | m.0pwb | people.person.parents | m.0j0hf | Terah | In the Bible who was the father of Abraham | Terah
Abraham Lincoln | abraham lincoln | m.0gzh | user.alexander.misc.murdered_person.murdered_by | m.041tp | John Wilkes Booth | Who assassinated US President Abraham Lincoln in 1865? | John Wilkes Booth
Abstract Expressionism | abstract expressionism | m.012yb9 | visual_art.art_period_movement.associated_artworks | m.0cg_9z5 | New York | In which city did Abstract Expressionism originate? | New York
Abstract Expressionism | abstract expressionism | m.0c8n3yd | book.book_edition.place_of_publication | m.02_286 | New York | In which city did Abstract Expressionism originate? | New York
Abstract Expressionist | abstract expressionism | m.012yb9 | visual_art.art_period_movement.associated_artists | m.0yd4t | Mark Rothko | Which of these artists was an Abstract Expressionist? | Mark Rothko
Abuja | abuja | m.0fnxw | base.biblioness.bibs_location.country | m.05cgv | Nigeria | Abuja is the capital of which West African republic? | Nigeria
Abuja | abuja | m.0fnxw | location.location.containedby | m.05cgv | Nigeria | Abuja is the capital of which West African republic? | Nigeria
Abu Simbel temples | abu simbel temples | m.01xjnk | location.location.containedby | m.02k54 | Egypt | The Abu Simbel temples are in which African country? | Egypt
Accra | accra | m.01kphj | language.human_language.countries_spoken_in | m.035dk | Ghana | Where might you spend a Ceti - Capital Accra | Ghana
Accra | accra | m.01kphj | language.human_language.main_country | m.035dk | Ghana | Where might you spend a Ceti - Capital Accra | Ghana
Accra | accra | m.0fnyc | base.biblioness.bibs_location.country | m.035dk | Ghana | Where might you spend a Ceti - Capital Accra | Ghana
Accra | accra | m.0fnyc | location.location.containedby | m.035dk | Ghana | Where might you spend a Ceti - Capital Accra | Ghana
ACDC | ac/dc | m.0134s5 | music.artist.album | m.01hx2yf | Highway to Hell | Up to 2016, which of these songs, reaching number 4 on the UK Charts, was the highest charting single by ACDC? | Highway to Hell
ACDC | acdc | m.0134s5 | music.artist.album | m.01hx2yf | Highway to Hell | Up to 2016, which of these songs, reaching number 4 on the UK Charts, was the highest charting single by ACDC? | Highway to Hell
ACDC | ac/dc | m.0134s5 | music.artist.album | m.01hx2yf | Highway to Hell | Which of these ACDC albums was released first? | Highway to Hell
ACDC | acdc | m.0134s5 | music.artist.album | m.01hx2yf | Highway to Hell | Which of these ACDC albums was released first? | Highway to Hell
ACDC | ac/dc | m.0134s5 | music.artist.track | m.0fwzpdk | Highway to Hell | Up to 2016, which of these songs, reaching number 4 on the UK Charts, was the highest charting single by ACDC? | Highway to Hell
ACDC | acdc | m.0134s5 | music.artist.track | m.0fwzpdk | Highway to Hell | Up to 2016, which of these songs, reaching number 4 on the UK Charts, was the highest charting single by ACDC? | Highway to Hell
ACDC | ac/dc | m.0134s5 | music.artist.track | m.0fwzpdk | Highway to Hell | Which of these ACDC albums was released first? | Highway to Hell
ACDC | acdc | m.0134s5 | music.artist.track | m.0fwzpdk | Highway to Hell | Which of these ACDC albums was released first? | Highway to Hell
ACDC | ac/dc | m.02pwgv | music.composer.compositions | m.0991dr | Highway to Hell | Up to 2016, which of these songs, reaching number 4 on the UK Charts, was the highest charting single by ACDC? | Highway to Hell
ACDC | ac/dc | m.02pwgv | music.composer.compositions | m.0991dr | Highway to Hell | Which of these ACDC albums was released first? | Highway to Hell
ACDC | ac/dc | m.02pwgv | people.person.nationality | m.0chghy | Australia | In which country were ACDC formed? | Australia
Ace of Base | ace of base | m.023d_b | music.artist.album | m.01kl6rx | The Sign | Which record did Ace of Base take to No.1 in 1994? | The Sign
Ace of Base | ace of base | m.023d_b | music.artist.track | m.0fw4f2k | The Sign | Which record did Ace of Base take to No.1 in 1994? | The Sign
acer | acer | m.0cffdh | base.skosbase.vocabulary_equivalent_topic.equivalent_concept | m.0bpj2d7 | Maple |  ‘Acer’ is the Latin name for which tree? | Maple
acetylene | acetylene | m.0t2t | law.invention.inventor | m.0d91p6 | Edmund Davy | Which British scientist discovered acetylene in 1836? | Edmund Davy
acetylsalicylic acid | acetylsalicylic acid | m.0qkc | medicine.drug.active_moieties | m.0qkc | Aspirin | By what name is acetylsalicylic acid more commonly known? | Aspirin
acetylsalicylic acid | acetylsalicylic acid | m.0qkc | medicine.drug_ingredient.active_moiety_of_drug | m.0qkc | Aspirin | By what name is acetylsalicylic acid more commonly known? | Aspirin
Achille Compagnoni | achille compagnoni | m.05n12h | geography.mountaineer.first_ascents | m.04f6t | K2 | Italian mountaineers Lino Lacedelli and Achille Compagnoni became the first people to successfully reach the summit of which Himalayan peak, via the Abruzzi Ridge? | K2
Achilles | achilles | m.0gy_ | base.fictionaluniverse.fictional_murder_victim.killed_by | m.0h0_x | Paris | In Greek mythology, who fired the arrow that hit Achilles in the heel? | Paris
Achilles | achilles | m.0gy_ | fictional_universe.fictional_character.parents | m.09kvb | Peleus | In Greek mythology, who was the father of Achilles? | Peleus
Acid Queen | acid queen | m.01559f1 | music.recording.artist | m.01vwyqp | Tina Turner | In the film Tommy who played The Acid Queen | Tina Turner
Acid Queen | acid queen | m.0479jmr | music.album.artist | m.01vwyqp | Tina Turner | In the film Tommy who played The Acid Queen | Tina Turner
Acid Queen | the acid queen | m.0f0vgpp | music.recording.artist | m.01vwyqp | Tina Turner | In the film Tommy who played The Acid Queen | Tina Turner
Acinonyx | acinonyx | m.04n7g3b | biology.organism_classification.lower_classifications | m.0cd4d | Cheetah | Acinonyx Jubatus is what big pussy | Cheetah
Acinonyx | acinonyx | m.0bpc6y9 | base.skosbase.skos_concept.narrower | m.0bptsn5 | Cheetah | Acinonyx Jubatus is what big pussy | Cheetah
Aconcagua | aconcagua | m.01g57w | geography.mountain.mountain_range | m.0p2n | Andes | Aconcagua is the highest mountain in which mountain range? | Andes
Aconcagua | aconcagua | m.01g57w | location.location.containedby | m.0p2n | Andes | Aconcagua is the highest mountain in which mountain range? | Andes
Acrobat | adobe acrobat | m.01cyrg | computer.software.developer | m.0vlf | Adobe | Which company produces PageMaker, Photoshop and Acrobat | Adobe
Across the River and Into the Trees | across the river and into the trees | m.04v9zny | book.book_edition.author_editor | m.02kz_ | Ernest Hemingway | Who wrote the novel ‘Across the River and Into the Trees’? | Ernest Hemingway
Across the River and Into the Trees | across the river and into the trees | m.0579h1 | book.written_work.author | m.02kz_ | Ernest Hemingway | Who wrote the novel ‘Across the River and Into the Trees’? | Ernest Hemingway
acting | actor | m.02hrh1q | people.profession.people_with_this_profession | m.01rr9f | Courtney Cox | Which actress from the TV show `Friends` began her acting career advertising Tampax? | Courtney Cox
Action Comics | action comics | m.0kzjp | comic_books.comic_book_series.featured_characters | m.070vn | Superman | In June 1938, Action Comics #1 was published, featuring which comic book hero for the first time? | Superman
Action Comics | action comics | m.0kzjp | comic_books.comic_book_series.featured_characters | m.070vn | Superman | In November 2011, a copy of the first issue of Action Comics, featuring the debut of which action hero, sold for 2.6 million dollars? | Superman
action figure | action figure | m.017h86 | business.product_theme.product_lines | m.01gm69 | G.I. Joe | Which Hasbro `action figure` got its name from a Robert Mitchum film? | G.I. Joe
action figure | action figure | m.017h86 | interests.collection_category.sub_categories | m.01gm69 | G.I. Joe | Which Hasbro `action figure` got its name from a Robert Mitchum film? | G.I. Joe
action film | action film | m.02kdv5l | film.film_genre.films_in_this_genre | m.07f_t4 | 300 | What is the title of the 2007 US fantasy action film, starring Gerard Butler, based on the 1998 comic series of the same name by Frank Miller? | 300
action painting | action painting | m.0c1t554 | book.written_work.author | m.04510 | Jackson Pollock | What artist was nicknamed "Jack the Dripper" action painting | Jackson Pollock
Acton Bell | anne brontë | m.0br2cj5 | book.book.editions | m.0bs57fy | Anne Bronte | Which author sometimes used the pseudonym Acton Bell which had the same initials as her real name? | Anne Bronte
Acton Bell | anne brontë | m.0bs57fy | book.book_edition.book | m.0br2cj5 | Anne Bronte | Which author sometimes used the pseudonym Acton Bell which had the same initials as her real name? | Anne Bronte
Acton Bell | anne brontë | m.0hmvcf6 | fictional_universe.fictional_character.based_on | m.0w6d | Anne Bronte | Which author sometimes used the pseudonym Acton Bell which had the same initials as her real name? | Anne Bronte
Acton Bell | anne brontë | m.0w6d | fictional_universe.person_in_fiction.representations_in_fiction | m.0hmvcf6 | Anne Bronte | Which author sometimes used the pseudonym Acton Bell which had the same initials as her real name? | Anne Bronte
actor | actor | m.02hrh1q | people.profession.people_with_this_profession | m.012gq6 | Bob Newhart | Which US actor and comedian is the voice of Bernard in the 1977 Disney film ‘The Rescuers’? | Bob Newhart
actor | actor | m.02hrh1q | people.profession.people_with_this_profession | m.0151zx | Peter Cushing | Which actor more famous for his roles in horror films played Sherlock Holmes in a 1968 TV series? | Peter Cushing
actor | actor | m.02hrh1q | people.profession.people_with_this_profession | m.015c4g | Robert Duvall | Which actor made his screen debut as Boo Radley in the 1962 film ‘To Kill a Mockingbird’? | Robert Duvall
actor | actor | m.02hrh1q | people.profession.people_with_this_profession | m.01fh9 | Billy Bob Thornton | In July 2002, actress Angelina Jolie filed for divorce from which actor? | Billy Bob Thornton
actor | actor | m.02hrh1q | people.profession.people_with_this_profession | m.01hbq0 | Robert Vaughn | Which actor is the last surviving actor of `The Magnificent Seven`? | Robert Vaughn
actor | actor | m.02hrh1q | people.profession.people_with_this_profession | m.01kv2d3 | Michael Crawford | Which English actor/singer was born Michael Dumble-Smith in 1942? | Michael Crawford
actor | actor | m.02hrh1q | people.profession.people_with_this_profession | m.01rrd4 | Matt Le Blanc | Which actor from the TV show `Friends` also appeared in the film `Lost In Space`? | Matt Le Blanc
actor | actor | m.02hrh1q | people.profession.people_with_this_profession | m.01tnxc | Dennis Quaid | Actress Meg Ryan married which actor on 14th February 1991? | Dennis Quaid
Actor | actor | m.02hrh1q | people.profession.people_with_this_profession | m.0266wz2 | John Wayne | Actor was known as Singing Sandy (dubbed) early in career | John Wayne
actor | actor | m.02hrh1q | people.profession.people_with_this_profession | m.0266wz2 | John Wayne | Which actor appeared in drag in two Marlene Dietrich films | John Wayne
actor | actor | m.02hrh1q | people.profession.people_with_this_profession | m.02b00 | David Janssen | Late US film and television actor David Harold Meyer was better known by what name? | David Janssen
actor | actor | m.02hrh1q | people.profession.people_with_this_profession | m.02d7ly | Peter Kay | Which comedian/actor played the Doctor Who monster Abzorbaloff, which appeared in the 2006 episode ‘Love and Monsters’? | Peter Kay
actor | actor | m.02hrh1q | people.profession.people_with_this_profession | m.02gvwz | Sean Bean | In the film Goldeneye, which British actor played agent 006? | Sean Bean
actor | actor | m.02hrh1q | people.profession.people_with_this_profession | m.02vyw | Francis Ford Coppola | Which famous film director is uncle to actor Nicolas Cage? | Francis Ford Coppola
actor | actor | m.02hrh1q | people.profession.people_with_this_profession | m.037s5h | Lee Majors | US film and television actor Harvey Lee Yeary is better known by what name? | Lee Majors
actor | actor | m.02hrh1q | people.profession.people_with_this_profession | m.03n6r | Humphrey Bogart | What character did actor Jerry Lacey play in the film `Play It Again, Sam`? | Humphrey Bogart
actor | actor | m.02hrh1q | people.profession.people_with_this_profession | m.048lv | Kevin Spacey | Which Oscar winning actor provided the voice of Hopper in the film `A Bug`s Life`? | Kevin Spacey
actor | actor | m.02hrh1q | people.profession.people_with_this_profession | m.04shbh | Daniel Craig | Actress Rachel Weisz married which actor in 2011? | Daniel Craig
actor | actor | m.02hrh1q | people.profession.people_with_this_profession | m.052hl | Mel Brooks | Comedian, actor and director Melvin Kaminsky is better known by what name? | Mel Brooks
actor | actor | m.02hrh1q | people.profession.people_with_this_profession | m.05szp | Paula Abdul | Which popstar was actor Emilio Estevez formerly married to? | Paula Abdul
actor | actor | m.02hrh1q | people.profession.people_with_this_profession | m.084m3 | William Shatner | Which US actor played the title role in the television police drama ‘T J Hooker’? | William Shatner
actor | actor | m.02hrh1q | people.profession.people_with_this_profession | m.0b_fw | Anthony Quinn | Which actor studied as a priest then an architect before acting | Anthony Quinn
actor | actor | m.02hrh1q | people.profession.people_with_this_profession | m.0bwh6 | Clint Eastwood | Dina Ruiz married which Hollywood actor and director in March 1996? | Clint Eastwood
actor | actor | m.02hrh1q | people.profession.people_with_this_profession | m.0byfz | Laurence Olivier | Which famous actor was the first director of the National Theatre? | Laurence Olivier
actor | actor | m.02hrh1q | people.profession.people_with_this_profession | m.0cj8x | Hank | US actor, director and comedian Henry Azaria is better known by what first name? | Hank
actor | actor | m.02hrh1q | people.profession.people_with_this_profession | m.0dlyx | William Hartnell | Which actor was first to play `Dr Who` on TV? | William Hartnell
actor | actor | m.02hrh1q | people.profession.people_with_this_profession | m.0f502 | John Travolta | Bolt, in the title of the 2008 movie, was voiced by which actor? | John Travolta
actor | actor | m.02hrh1q | people.profession.people_with_this_profession | m.0f7hc | Eddie Murphy | Mushu, in the film Mulan, is voiced by which actor? | Eddie Murphy
actor | actor | m.02hrh1q | people.profession.people_with_this_profession | m.0gyx4 | Warren Beatty | Who is actress Shirley Maclaine`s famous actor brother? | Warren Beatty
